Conc1	3.4E-09	
Start1	813.82	
Stop1	5313.63	
Kobs	1.06132293861068E-05	
Error Kobs	9.00665991572662E-05	
Koff	0.00471693121618008	
Error Koff	NaN	
Time1	Data1	Fit1	
874.62	0.0095671	0.01116281	
874.82	0.00912439	0.01119801	
875.02	0.00928616	0.01123319	
875.22	0.00931828	0.01126834	
875.42	0.00928353	0.01130347	
875.62	0.00928286	0.01133857	
875.82	0.00968696	0.01137364	
876.02	0.01062149	0.01140868	
876.22	0.01096047	0.0114437	
876.42	0.01126585	0.0114787	
876.62	0.01169995	0.01151367	
876.82	0.01118784	0.01154861	
877.02	0.01119445	0.01158352	
877.22	0.0110367	0.01161841	
877.42	0.01159801	0.01165327	
877.62	0.01106418	0.01168811	
877.82	0.01110579	0.01172292	
878.02	0.01130809	0.0117577	
878.22	0.01120715	0.01179246	
878.42	0.01103796	0.01182719	
878.62	0.011366	0.0118619	
878.82	0.0117438	0.01189658	
879.02	0.01196493	0.01193123	
879.22	0.01202805	0.01196586	
879.42	0.01219454	0.01200046	
879.62	0.0125494	0.01203504	
879.82	0.01259688	0.01206959	
880.02	0.0128969	0.01210411	
880.22	0.01272681	0.01213861	
880.42	0.01274943	0.01217308	
880.62	0.01292485	0.01220753	
880.82	0.01262065	0.01224195	
881.02	0.01288793	0.01227634	
881.22	0.0125685	0.01231071	
881.42	0.01245567	0.01234506	
881.62	0.01211456	0.01237937	
881.82	0.0121637	0.01241367	
882.02	0.01209415	0.01244793	
882.22	0.01187387	0.01248217	
882.42	0.01199307	0.01251639	
882.62	0.01190367	0.01255057	
882.82	0.01163904	0.01258474	
883.02	0.01160235	0.01261888	
883.22	0.01201368	0.01265299	
883.42	0.0121213	0.01268707	
883.62	0.01199599	0.01272114	
883.82	0.01221111	0.01275517	
884.02	0.01285405	0.01278918	
884.22	0.01283005	0.01282316	
884.42	0.01296066	0.01285712	
884.62	0.0131986	0.01289106	
884.82	0.01306594	0.01292496	
885.02	0.01315789	0.01295885	
885.22	0.01285426	0.0129927	
885.42	0.01249815	0.01302654	
885.62	0.01256427	0.01306034	
885.82	0.01247814	0.01309412	
886.02	0.01180307	0.01312788	
886.22	0.01118394	0.01316161	
886.42	0.01073502	0.01319532	
886.62	0.01029596	0.013229	
886.82	0.01047022	0.01326265	
887.02	0.0109555	0.01329628	
887.22	0.01161521	0.01332988	
887.42	0.01181499	0.01336346	
887.62	0.01254218	0.01339702	
887.82	0.01305785	0.01343055	
888.02	0.01347894	0.01346405	
888.22	0.01317763	0.01349753	
888.42	0.01360146	0.01353098	
888.62	0.01380495	0.01356441	
888.82	0.01403075	0.01359782	
889.02	0.01397806	0.01363119	
889.22	0.01359774	0.01366455	
889.42	0.0135214	0.01369788	
889.62	0.01360461	0.01373118	
889.82	0.01353912	0.01376446	
890.02	0.01321408	0.01379771	
890.22	0.01335434	0.01383094	
890.42	0.01341167	0.01386415	
890.62	0.01333397	0.01389732	
