DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
6.783333,0.002177,,,,,,
6.8,0.00129,,,,,,
6.816667,0.001444,,,,,,
6.833333,0.001194,,,,,,
6.85,0.000991,,,,,,
6.866667,0.000167,,,,,,
6.883333,-0.000147,,,,,,
6.9,-0.001121,,,,,,
6.916667,-0.001735,,,,,,
6.933333,-0.00186,,,,,,
6.95,-0.000994,,,,,,
6.966667,-0.001312,,,,,,
6.983333,-0.001697,,,,,,
7,-0.001513,,,,,,
7.016667,-0.002698,,,,,,
7.033333,-0.001321,,,,,,
7.05,0.001827,,,,,,
7.066667,0.003705,,,,,,
7.083333,0.005687,,,,,,
7.1,0.005673,,,,,,
7.116667,0.005869,,,,,,
7.133333,0.005085,,,,,,
7.15,0.004044,,,,,,
7.166667,0.00387,,,,,,
7.183333,0.003297,,,,,,
7.2,0.003144,,,,,,
7.216667,0.003306,,,,,,
7.233333,0.003244,,,,,,
7.25,0.002311,,,,,,
7.266667,0.001758,,,,,,
7.283333,0.000794,,,,,,
7.3,0.000621,,,,,,
7.316667,0.001139,,,,,,
7.333333,0.001536,,,,,,
7.35,0.002092,,,,,,
7.366667,0.002089,,,,,,
7.383333,0.001275,,,,,,
7.4,0.000533,,,,,,
7.416667,0.000616,,,,,,
7.433333,0.000919,,,,,,
7.45,0.000823,,,,,,
7.466667,0.000318,,,,,,
7.483333,0.000877,,,,,,
7.5,0.000885,,,,,,
7.516667,0.001163,,,,,,
7.533333,0.001004,,,,,,
7.55,0.000795,,,,,,
7.566667,-0.000154,,,,,,
7.583333,-0.000633,,,,,,
7.6,-0.002111,,,,,,
7.616667,-0.001799,,,,,,
7.633333,-0.001238,,,,,,
7.65,-0.001157,,,,,,
7.666667,-0.001677,,,,,,
7.683333,-0.002007,,,,,,
7.7,-0.002167,,,,,,
7.716667,-0.001919,,,,,,
7.733333,-0.002222,,,,,,
7.75,-0.002166,,,,,,
7.766667,-0.000969,,,,,,
7.783333,-0.001057,,,,,,
7.8,-0.000875,,,,,,
7.816667,0.000127,,,,,,
7.833333,0.000268,,,,,,
7.85,-0.000496,,,,,,
7.866667,-0.00055,,,,,,
7.883333,-0.000364,,,,,,
7.9,-0.00107,,,,,,
7.916667,-0.00064,,,,,,
7.933333,0.000119,,,,,,
7.95,0.001119,,,,,,
7.966667,0.001404,,,,,,
7.983333,0.001226,,,,,,
8,0.000749,,,,,,
8.016667,0.000261,,,,,,
8.033333,-0.000353,,,,,,
8.05,-0.001519,,,,,,
8.066667,-0.001705,,,,,,
8.083333,-0.001832,,,,,,
8.1,-0.002086,,,,,,
8.116667,-0.001821,,,,,,
8.133333,-0.001766,,,,,,
8.15,-0.001014,,,,,,
8.166667,-0.001248,,,,,,
8.183333,-0.001273,,,,,,
8.2,-0.001927,,,,,,
8.216667,-0.002136,,,,,,
8.233333,-0.00236,,,,,,
8.25,-0.002254,,,,,,
8.266667,-0.002378,,,,,,
8.283333,-0.002078,,,,,,
8.3,-0.001081,,,,,,
8.316667,-0.000654,,,,,,
8.333333,0.000053,,,,,,
8.35,0.000402,,,,,,
8.366667,0.000072,,,,,,
8.383333,0.000491,,,,,,
8.4,0.000058,,,,,,
8.416667,-0.000329,,,,,,
8.433333,-0.000927,,,,,,
8.45,-0.000885,,,,,,
8.466667,-0.001495,,,,,,
8.483333,-0.001589,,,,,,
8.5,-0.001082,,,,,,
8.516667,-0.000785,,,,,,
8.533333,-0.001019,,,,,,
8.55,0.006893,,,,,,
8.566667,0.023415,,,,,,
8.583333,0.044402,,,,,,
8.6,0.070018,,,,,,
8.616667,0.096583,,,,,,
8.633333,0.103258,,,,,,
8.65,0.090031,,,,,,
8.666667,0.062753,,,,,,
8.683333,0.027594,,,,,,
8.7,-0.011294,,,,,,
8.716667,-0.039328,,,,,,
8.733333,-0.054206,,,,,,
8.75,-0.058364,,,,,,
8.766667,-0.054971,,,,,,
8.783333,-0.046371,,,,,,
8.8,-0.033704,,,,,,
8.816667,-0.021186,,,,,,
8.833333,-0.011558,,,,,,
8.85,-0.005051,,,,,,
8.866667,-0.001015,,,,,,
8.883333,0.000721,,,,,,
8.9,0.000365,,,,,,
8.916667,0.00058,,,,,,
8.933333,0.002174,,,,,,
8.95,0.002579,,,,,,
8.966667,0.002334,,,,,,
8.983333,0.001737,,,,,,
9,0.001471,,,,,,
9.016667,0.000054,,,,,,
9.033333,0.000507,,,,,,
9.05,0.000103,,,,,,
9.066667,0.000618,,,,,,
9.083333,0.000712,,,,,,
9.1,0.000179,,,,,,
9.116667,0.000076,,,,,,
9.133333,-0.000737,,,,,,
9.15,-0.001449,,,,,,
9.166667,-0.000116,,,,,,
9.183333,0.000476,,,,,,
9.2,0.001079,,,,,,
9.216667,0.001551,,,,,,
9.233333,0.00308,,,,,,
9.25,0.003379,,,,,,
9.266667,0.004407,,,,,,
9.283333,0.004156,,,,,,
9.3,0.005377,,,,,,
9.316667,0.005348,,,,,,
9.333333,0.004029,,,,,,
9.35,0.00212,,,,,,
9.366667,0.002311,,,,,,
9.383333,0.001712,,,,,,
9.4,0.000895,,,,,,
9.416667,0.001666,,,,,,
9.433333,0.002046,,,,,,
9.45,0.001106,,,,,,
9.466667,-0.000089,,,,,,
9.483333,0.00079,,,,,,
9.5,0.000978,,,,,,
9.516667,0.000887,,,,,,
9.533333,0.000921,,,,,,
9.55,0.001387,,,,,,
9.566667,0.000152,,,,,,
9.583333,-0.000942,,,,,,
9.6,-0.000481,,,,,,
9.616667,-0.00124,,,,,,
9.633333,-0.00031,,,,,,
9.65,-0.001688,,,,,,
9.666667,-0.002853,,,,,,
9.683333,-0.003059,,,,,,
9.7,-0.002964,,,,,,
9.716667,-0.004378,,,,,,
9.733333,-0.003261,,,,,,
9.75,-0.001344,,,,,,
9.766667,-0.001857,,,,,,
9.783333,-0.002118,,,,,,
9.8,-0.001439,,,,,,
9.816667,-0.00053,,,,,,
9.833333,-0.00099,,,,,,
9.85,0.000102,,,,,,
9.866667,0.001454,,,,,,
9.883333,0.000445,,,,,,
9.9,-0.000442,,,,,,
9.916667,-0.000257,,,,,,
9.933333,-0.000383,,,,,,
9.95,-0.000328,,,,,,
9.966667,0.000598,,,,,,
9.983333,0.000856,,,,,,
10,0.001144,,,,,,
10.016667,0.001452,,,,,,
10.033333,0.000952,,,,,,
10.05,0.000593,,,,,,
10.066667,0.000415,,,,,,
10.083333,-0.000594,,,,,,
10.1,-0.00185,,,,,,
10.116667,-0.001425,,,,,,
10.133333,-0.00093,,,,,,
10.15,-0.000435,,,,,,
10.166667,-0.000006,,,,,,
10.183333,0.000212,,,,,,
10.2,-0.00012,,,,,,
10.216667,-0.0006,,,,,,
10.233333,-0.000728,,,,,,
10.25,-0.000406,,,,,,
10.266667,0.000596,,,,,,
10.283333,0.001922,,,,,,
10.3,0.002518,,,,,,
10.316667,0.003074,,,,,,
10.333333,0.002991,,,,,,
10.35,0.001892,,,,,,
10.366667,0.000652,,,,,,
10.383333,0.000873,,,,,,
10.4,0.000705,,,,,,
10.416667,0.001469,,,,,,
10.433333,0.002674,,,,,,
10.45,0.003458,,,,,,
10.466667,0.003574,,,,,,
10.483333,0.003092,,,,,,
10.5,0.002519,,,,,,
10.516667,0.002277,,,,,,
10.533333,0.000555,,,,,,
10.55,-0.000356,,,,,,
10.566667,-0.000717,,,,,,
10.583333,-0.001088,,,,,,
10.6,-0.00199,,,,,,
10.616667,-0.001982,,,,,,
10.633333,-0.002013,,,,,,
10.65,-0.000846,,,,,,
10.666667,-0.00146,,,,,,
10.683333,-0.000364,,,,,,
10.7,-0.000238,,,,,,
10.716667,0.000636,,,,,,
10.733333,-0.000622,,,,,,
10.75,-0.00102,,,,,,
10.766667,-0.002448,,,,,,
10.783333,-0.003199,,,,,,
10.8,-0.004712,,,,,,
10.816667,-0.004535,,,,,,
10.833333,-0.004288,,,,,,
10.85,-0.003696,,,,,,
10.866667,-0.002834,,,,,,
10.883333,-0.002413,,,,,,
10.9,-0.002562,,,,,,
10.916667,-0.002586,,,,,,
10.933333,-0.002959,,,,,,
10.95,-0.003472,,,,,,
10.966667,-0.003498,,,,,,
10.983333,-0.002705,,,,,,
11,-0.001372,,,,,,
11.016667,-0.000509,,,,,,
11.033333,-0.000855,,,,,,
11.05,0.008622,,,,,,
11.066667,0.02596,,,,,,
11.083333,0.04825,,,,,,
11.1,0.072257,,,,,,
11.116667,0.098614,,,,,,
11.133333,0.104341,,,,,,
11.15,0.089596,,,,,,
11.166667,0.061259,,,,,,
11.183333,0.024802,,,,,,
11.2,-0.015785,,,,,,
11.216667,-0.044713,,,,,,
11.233333,-0.060588,,,,,,
11.25,-0.065394,,,,,,
11.266667,-0.061259,,,,,,
11.283333,-0.050335,,,,,,
11.3,-0.038731,,,,,,
11.316667,-0.026466,,,,,,
11.333333,-0.016723,,,,,,
11.35,-0.00915,,,,,,
11.366667,-0.004117,,,,,,
11.383333,-0.000715,,,,,,
11.4,0.000467,,,,,,
11.416667,0.001118,,,,,,
11.433333,0.000639,,,,,,
11.45,0.000161,,,,,,
11.466667,0.000726,,,,,,
11.483333,0.000286,,,,,,
11.5,0.000446,,,,,,
11.516667,0.001016,,,,,,
11.533333,0.001293,,,,,,
11.55,0.000279,,,,,,
11.566667,0.001055,,,,,,
11.583333,0.000884,,,,,,
11.6,0.000563,,,,,,
11.616667,0.000541,,,,,,
11.633333,0.0006,,,,,,
11.65,-0.000056,,,,,,
11.666667,0.00031,,,,,,
11.683333,0.000515,,,,,,
11.7,-0.000099,,,,,,
11.716667,-0.000482,,,,,,
11.733333,-0.000715,,,,,,
11.75,-0.001038,,,,,,
11.766667,-0.001131,,,,,,
11.783333,0.001649,,,,,,
11.8,0.004227,,,,,,
11.816667,0.006635,,,,,,
11.833333,0.008061,,,,,,
11.85,0.007035,,,,,,
11.866667,0.006469,,,,,,
11.883333,0.006143,,,,,,
11.9,0.005914,,,,,,
11.916667,0.005827,,,,,,
11.933333,0.006251,,,,,,
11.95,0.005445,,,,,,
11.966667,0.00563,,,,,,
11.983333,0.005222,,,,,,
12,0.005135,,,,,,
12.016667,0.004927,,,,,,
12.033333,0.004122,,,,,,
12.05,0.002931,,,,,,
12.066667,0.001329,,,,,,
12.083333,0.000468,,,,,,
12.1,-0.001051,,,,,,
12.116667,-0.001211,,,,,,
12.133333,-0.000971,,,,,,
12.15,-0.000808,,,,,,
12.166667,-0.000419,,,,,,
12.183333,0.000699,,,,,,
12.2,0.001767,,,,,,
12.216667,0.002468,,,,,,
12.233333,0.00383,,,,,,
12.25,0.004303,,,,,,
12.266667,0.003455,,,,,,
12.283333,0.003037,,,,,,
12.3,0.002389,,,,,,
12.316667,0.0013,,,,,,
12.333333,0.000412,,,,,,
12.35,0.001268,,,,,,
12.366667,0.000664,,,,,,
12.383333,-0.001071,,,,,,
12.4,-0.002348,,,,,,
12.416667,-0.004184,,,,,,
12.433333,-0.007259,,,,,,
12.45,-0.008665,,,,,,
12.466667,-0.0083,,,,,,
12.483333,-0.008472,,,,,,
12.5,-0.007054,,,,,,
12.516667,-0.005286,,,,,,
12.533333,-0.005544,,,,,,
12.55,-0.005915,,,,,,
12.566667,-0.004686,,,,,,
12.583333,-0.004129,,,,,,
12.6,-0.004271,,,,,,
12.616667,-0.002733,,,,,,
12.633333,-0.002285,,,,,,
12.65,-0.002554,,,,,,
12.666667,-0.003457,,,,,,
12.683333,-0.00378,,,,,,
12.7,-0.003183,,,,,,
12.716667,-0.002337,,,,,,
12.733333,-0.001581,,,,,,
12.75,-0.001294,,,,,,
12.766667,-0.000437,,,,,,
12.783333,-0.000196,,,,,,
12.8,0.000882,,,,,,
12.816667,0.00073,,,,,,
12.833333,0.001667,,,,,,
12.85,0.002968,,,,,,
12.866667,0.002669,,,,,,
12.883333,0.001569,,,,,,
12.9,0.002685,,,,,,
12.916667,0.002449,,,,,,
12.933333,0.002183,,,,,,
12.95,0.001978,,,,,,
12.966667,0.001333,,,,,,
12.983333,-0.000578,,,,,,
13,-0.00025,,,,,,
13.016667,-0.001141,,,,,,
13.033333,-0.000845,,,,,,
13.05,0.000018,,,,,,
13.066667,0.000721,,,,,,
13.083333,-0.000018,,,,,,
13.1,-0.00003,,,,,,
13.116667,-0.000162,,,,,,
13.133333,-0.000305,,,,,,
13.15,0.000228,,,,,,
13.166667,0.00061,,,,,,
